rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
6000,1,1,Not given,,"Deposit₹ 15,000/-",Plot area 300(27.87 sq.m.)Built Up area: 350 sq.ft. (32.52 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in Upper Indira Nagar, , Pune, Maharashtra",,West,,,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
"11,000",2,2,Not given,1,"Deposit₹ 15,000/-",Built Up area: 850 (78.97 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.)  sq.ft.,Unfurnished,Family Only," in Simpli City, Pandhari Nagar, , Pune, Maharashtra",1st   of 4 Floors,South-West,Vitrified,Yes,,1 Covered,,,None,1 Months,Charges not included,Full,0 to 1 Year Old
8000,1,1,Not given,,Deposit3 months rent,Carpet area: 435 (40.41 sq.m.)  sq.ft.,Unfurnished,Family Only," in Gokul Nagar, , Pune, Maharashtra",Ground of 3 Floors,,,,,,,,None,0 Months,Charges not included,None,0 to 1 Year Old
"20,000",2,2,Not given,1,Deposit1 months rent,Super Built up area 1040(96.62 sq.m.)  sq.ft.,Furnished,All," in Vasant Utsav, Hinjewadi, , Pune, Maharashtra",4th   of 4 Floors,West,Ceramic,Yes,,1 Covered,,,None,1 Months,Charges not included,None,5 to 10 Year Old
"10,000",1,1,Not given,2,"Deposit₹ 40,000/-",Carpet area: 532 (49.42 sq.m.)  sq.ft.,Unfurnished,All," in Dream Home Heera, Hadapsar, , Pune, Maharashtra",4th   of 4 Floors,,,,,1 Covered,,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
"24,000",3,3,Not given,1,"Deposit₹ 60,000/-",Super Built up area 1500(139.35 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.)  sq.ft.,Semifurnished,All," in Hadapsar, , Pune, Maharashtra",1st   of 4 Floors,East,Spartex,,,1 Open,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"11,500",1,1,Not given,1,"Deposit₹ 30,000/-",Built Up area: 600 (55.74 sq.m.)Carpet area: 475 sq.ft. (44.13 sq.m.)  sq.ft.,Unfurnished,Family Only," in Manikmoti Complex, Katraj, , Pune, Maharashtra",3rd   of 6 Floors,East,Ceramic,Yes,,,,,11 Months,2 Months,Charges not included,None,10+ Year Old
"27,000",3,3,Not given,2,"Deposit₹ 60,000/-",Super Built up area 1500(139.35 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Casa Grande Lakshmi, Hadapsar, , Pune, Maharashtra",1st   of 3 Floors,,,,,2 Open,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"13,000",2,2,Not given,2,"Deposit₹ 40,000/-",Super Built up area 700(65.03 sq.m.)  sq.ft.,Furnished,All," in Ravi Park, Hadapsar, , Pune, Maharashtra",4th   of 10 Floors,East,,,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
6000,1,1,Not given,,"Deposit₹ 15,000/-",Built Up area: 250 (23.23 sq.m.)  sq.ft.,Unfurnished,All," in Sainath Nagar, , Pune, Maharashtra",2nd   of 2 Floors,South,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
6000,1,1,Not given,1,Deposit2 months rent,Carpet area: 400 (37.16 sq.m.)  sq.ft.,Unfurnished,All," in Lakeview City, Lohegaon, , Pune, Maharashtra",1st   of 4 Floors,East,,,,1 Covered,,,11 Months,1 Months,Charges not included,None,0 to 1 Year Old
"10,000",1,1,Not given,1,"Deposit₹ 25,000/-",Carpet area: 500 (46.45 sq.m.)  sq.ft.,Unfurnished,Family Only," in Wadgaon Sheri, , Pune, Maharashtra",,East,Vitrified,,,"1 Covered, 1 Open",,,None,0 Months,Charges included,None,0 to 1 Year Old
"15,000",1,1,Not given,,"Deposit₹ 50,000/-",Super Built up area 560(52.03 sq.m.)  sq.ft.,Furnished,All," in Rahul Pratik Nagar, Kothrud, , Pune, Maharashtra",2nd   of 3 Floors,East,Mosaic,Yes,Yes,"0 Covered, 1 Open",,,11 Months,1 Months,Charges not included,None,10+ Year Old
,,,Not given,0,,None,,None,,,,,,,,,,,,,,
