rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
159," 19,000",3,2,"Pooja Room,Store Room",3,"Deposit₹ 50,000/-",Built Up area: 1348 (125.23 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.)  sq.ft.,Semifurnished,All," in Infinity Towers, Punawale, , Pune, Maharashtra",11st   of 13 Floors,East,Vitrified,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
160," 14,000",1,1,Study Room,,"Deposit₹ 30,000/-",Carpet area: 740 (68.75 sq.m.)  sq.ft.,Semifurnished,Family Only," in Salunke Vihar Society, Salunke Vihar, , Pune, Maharashtra",1st   of 4 Floors,East,Vitrified,Yes,," Covered, 1 Open",,,3 Months,2 Months,Charges not included,None,10+ Year Old
161, 3000,1,1,Not given,1,"Deposit₹ 5,000/-",Carpet area: 500 (46.45 sq.m.)  sq.ft.,Semifurnished,Bachelors (Women Only)," in Mokate Towers, Bhusari Colony, , Pune, Maharashtra",3rd   of 12 Floors,North,Others,,,2 Open,,,12 Months,2 Months,Charges included,None,1 to 5 Year Old
162," 22,000",2,2,Not given,2,"Maintenance₹ 2,000/- (/ month)Deposit₹ 50,000/-",Super Built up area 1100(102.19 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kiran Shubhlabh, Baner, , Pune, Maharashtra",3rd   of 4 Floors,,,,,"1 Covered,  Open",,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
163," 26,000",2,2,Not given,,"Deposit₹ 154,000/-",Plot area 5000(464.52 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.)  sq.ft.,Unfurnished,Family Only," in Hadapsar, , Pune, Maharashtra",,,,Yes,,4 Open,,Yes,None,2 Months,Charges not included,None,1 to 5 Year Old
164," 14,500",1,1,Not given,1,"Deposit₹ 30,000/-",Super Built up area 625(58.06 sq.m.)Built Up area: 550 sq.ft. (51.1 sq.m.)Carpet area: 490 sq.ft. (45.52 sq.m.)  sq.ft.,Furnished,All," in Magarpatta City Zinnia, Magarpatta, , Pune, Maharashtra",1st   of 6 Floors,East,Vitrified,Yes,Yes,1 Open,,Yes,12 Months,1 Months,Charges not included,None,5 to 10 Year Old
165," 17,000",2,2,Not given,3,"Deposit₹ 50,000/-",Super Built up area 1045(97.08 sq.m.)Carpet area: 712 sq.ft. (66.15 sq.m.)  sq.ft.,Semifurnished,All," in Samarttha Goldville, Thergaon, , Pune, Maharashtra",12nd   of 12 Floors,East,Ceramic,Yes,Yes,1 Covered,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
166," 11,000",2,2,Not given,2,Deposit2 months rent,Carpet area: 760 (70.61 sq.m.)  sq.ft.,Unfurnished,All," in Greencity Township, Hadapsar, , Pune, Maharashtra",1st   of 11 Floors,East,,Yes,Yes,1 Covered,Yes,Yes,None,1 Months,Charges not included,Full,1 to 5 Year Old
167," 12,000",2,2,Not given,1,"Deposit₹ 35,000/-",Super Built up area 802(74.51 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.)  sq.ft.,Semifurnished,Family Only," in Amit Colori, Undri, , Pune, Maharashtra",3rd   of 12 Floors,East,Vitrified,Yes,Yes,1 Covered,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
168," 17,000",2,2,Not given,1,"Maintenance₹ 2,585/- (/ month)Deposit₹ 50,000/-",Carpet area: 667 (61.97 sq.m.)  sq.ft.,Semifurnished,All," in Kumar Megapolis, Hinjewadi, , Pune, Maharashtra",13rd   of 21 Floors,North-East,,Yes,,,,,None,0 Months,Charges not included,None,0 to 1 Year Old
169," 13,000",2,2,Not given,1,"Deposit₹ 40,000/-",Super Built up area 975(90.58 sq.m.)Carpet area: 663 sq.ft. (61.59 sq.m.)  sq.ft.,Semifurnished,All," in Hill Shire, Wagholi, , Pune, Maharashtra",7th   of 12 Floors,East,Vitrified,,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
170," 12,000",1,1,Not given,1,"Maintenance₹ 1/- (/ month)Deposit₹ 35,000/-",Super Built up area 625(58.06 sq.m.)  sq.ft.,Unfurnished,Family Only," in Goel Ganga Aashiyana, Chinchwad, , Pune, Maharashtra",7th   of 11 Floors,,Ceramic,,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
171, 8000,1,1,Not given,,"Deposit₹ 20,000/-",Plot area 445(41.34 sq.m.)  sq.ft.,Unfurnished,All," in gujrath colony Kothrud, Kothrud, , Pune, Maharashtra",,East,Cement,,," Covered, 2 Open",,,11 Months,1 Months,Charges included,None,1 to 5 Year Old
172," 40,000",3,3,Not given,3,Deposit4 months rent,Super Built up area 1800(167.23 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1212 sq.ft. (112.6 sq.m.)  sq.ft.,Furnished,All," in Magarpatta City Sylvania, Magarpatta, , Pune, Maharashtra",11st   of 11 Floors,East,Vitrified,Yes,,"1 Covered,  Open",Yes,Yes,36 Months,0 Months,Charges not included,Partial,10+ Year Old
173," 12,800",2,2,Not given,2,,Carpet area: 760 (70.61 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Men Only)"," in Jade Residences 2, Wagholi, , Pune, Maharashtra",4th   of 11 Floors,,,,,,,,None,0 Months,Charges included,None,0 to 1 Year Old
174," 15,000",3,3,Not given,,,Plot area 3600(334.45 sq.m.)  sq.ft.,Unfurnished,Family Only," in silver oak, , Pune, Maharashtra",,,,,,"1 Covered, 1 Open",,,None,0 Months,Charges included,None,0 to 1 Year Old
175," 15,000",2,2,Not given,2,"Maintenance₹ 2,600/- (/ month)Deposit3 months rent",Built Up area: 1099 (102.1 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.)  sq.ft.,Semifurnished,All," in Life Montage Apartment, Sus , , Pune, Maharashtra",3rd   of 12 Floors,South-East,Granite,,,1 Open,,,11 Months,2 Months,Charges not included,Full,1 to 5 Year Old
176," 22,000",2,2,Not given,1,"Deposit₹ 50,000/-",Super Built up area 1051(97.64 sq.m.)  sq.ft.,Furnished,All," in 5 Star Royal Glory, Bhumkar Nagar, , Pune, Maharashtra",3rd   of 12 Floors,West,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
177," 14,500",1,2,Not given,1,"Maintenance₹ 13,500/- (/ year)Deposit₹ 40,000/-",Built Up area: 530 (49.24 sq.m.)  sq.ft.,Furnished,Family Only," in Swarali Co-op Housing Society, Rambaug Colony, , Pune, Maharashtra",2nd   of 4 Floors,,Mosaic,Yes,,1 Covered,,Yes,None,1 Months,Charges not included,None,10+ Year Old
178," 32,000",2,2,Not given,1,Deposit6 months rent,Carpet area: 1364 (126.72 sq.m.)  sq.ft.,Semifurnished,Family Only," in Pittie Kourtyard, Kharadi, , Pune, Maharashtra",12nd   of 15 Floors,,,,,1 Covered,,,11 Months,0 Months,Charges not included,None,Under Construction
179," 21,000",2,2,Not given,1,"Deposit₹ 60,000/-",Super Built up area 1000(92.9 sq.m.)  sq.ft.,Semifurnished,Family Only," in avantika residency, Mukund Nagar, , Pune, Maharashtra",1st   of 3 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
180," 13,500",2,2,Others,1,"Maintenance₹ 24,000/- (/ year)Deposit₹ 50,000/-",Built Up area: 950 (88.26 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.)  sq.ft.,Unfurnished,Family Only," in Amit Astonia Classic, Undri, , Pune, Maharashtra",3rd   of 11 Floors,South-West,Vitrified,,Yes,1 Covered,,,11 Months,1 Months,Charges included,None,1 to 5 Year Old
181," 35,000",3,3,Not given,2,"Deposit₹ 100,000/-",Super Built up area 1500(139.35 sq.m.)  sq.ft.,Furnished,Family Only," in Bramha Sun City Phase 2, Kalyani Nagar, , Pune, Maharashtra",4th   of 10 Floors,,,,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
182," 15,500",1,2,Not given,1,"Deposit₹ 25,000/-",Carpet area: 715 (66.43 sq.m.)  sq.ft.,Semifurnished,All," in Aum Sanskruti Casa Imperia, Wakadkar Wasti, , Pune, Maharashtra",3rd   of 13 Floors,,,,,1 Covered,,,24 Months,2 Months,Charges not included,None,1 to 5 Year Old
183," 16,000",2,2,Not given,1,"Deposit₹ 35,000/-",Super Built up area 950(88.26 sq.m.)  sq.ft.,Semifurnished,All," in TCG The Cliff Garden, Phase-3 Hinjewadi , , Pune, Maharashtra",11st   of 14 Floors,,,,,1 Open,,,None,0 Months,Charges not included,None,1 to 5 Year Old
184, 5500,1,1,Not given,,"Deposit₹ 15,000/-",Carpet area: 330 (30.66 sq.m.)  sq.ft.,Unfurnished,Family Only," in Mutha A Balaji Nagar, Balaji Nagar, , Pune, Maharashtra",2nd   of 2 Floors,,Vitrified,,," Covered, 1 Open",,,11 Months,1 Months,Charges included,None,10+ Year Old
185," 35,000",3,3,Not given,1,"Deposit₹ 100,000/-",Built Up area: 1615 (150.04 sq.m.)  sq.ft.,Semifurnished,Family Only," in Nakshatra Apartment Baner, Baner, , Pune, Maharashtra",2nd   of 5 Floors,West,,Yes,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
186, 5500,1,1,Not given,1,"Deposit₹ 15,000/-",Carpet area: 200 (18.58 sq.m.)  sq.ft.,Unfurnished,All," in Trimurti Corner, Gangotri Nagar, , Pune, Maharashtra",4th   of 4 Floors,South,Vitrified,Yes,,1 Covered,,,9 Months,1 Months,Charges not included,None,1 to 5 Year Old
187," 25,000",3,3,Not given,2,"Deposit₹ 70,000/-",Built Up area: 1400 (130.06 sq.m.)  sq.ft.,Semifurnished,All," in Kolte Patil Western Avenue, Wakad, , Pune, Maharashtra",1st   of 10 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,Under Construction
188," 22,000",2,2,Not given,1,"Deposit₹ 50,000/-",Super Built up area 1206(112.04 sq.m.)  sq.ft.,Furnished,Family Only," in Whistling palms, Wakad, , Pune, Maharashtra",5th   of 7 Floors,,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
189," 17,000",2,1,Not given,1,Deposit3 months rent,Carpet area: 700 (65.03 sq.m.)  sq.ft.,Furnished,Family Only," in Aditya Chintamani Nagar Phase 2, Bibwewadi, , Pune, Maharashtra",Basement of 2 Floors,West,Vitrified,Yes,," Covered,  Open",,Yes,11 Months,1 Months,Charges not included,Partial,10+ Year Old
190, 8500,1,1,Not given,1,Deposit₹ 20/-,Carpet area: 517 (48.03 sq.m.)  sq.ft.,Unfurnished,Family Only," in Star City, Moshi, , Pune, Maharashtra",5th   of 12 Floors,South,,,,1 Covered,,,11 Months,1 Months,Charges not included,None,0 to 1 Year Old
191," 12,000",1,1,Others,,"Deposit₹ 25,000/-",Built Up area: 700 (65.03 sq.m.)  sq.ft.,Unfurnished,All," in Wakad, , Pune, Maharashtra",,East,,,,1 Open,,,None,0 Months,Charges included,None,5 to 10 Year Old
192," 13,000",1,1,Not given,1,"Deposit₹ 20,000/-",Super Built up area 600(55.74 sq.m.)  sq.ft.,Unfurnished,Family Only," in Shreyas Residency, Vishawshanti Colony, , Pune, Maharashtra",2nd   of 4 Floors,East,Vitrified,Yes,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
193," 15,000",1,1,Not given,1,Deposit3 months rent,Super Built up area 654(60.76 sq.m.)  sq.ft.,Unfurnished,All," in Saarthi Soverign, Mahalunge, , Pune, Maharashtra",9th   of 12 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
194," 15,000",2,2,Not given,2,"Deposit₹ 45,000/-",Built Up area: 875 (81.29 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.)  sq.ft.,Semifurnished,Family Only," in TCG Panorama, Ambegaon, , Pune, Maharashtra",7th   of 9 Floors,North,,Yes,Yes,"1 Covered, 0 Open",,,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
195, 6500,1,1,Not given,1,,Carpet area: 453.59 (42.14 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in Mhada colony, Mahalunge, Mahalunge Ingale, , Pune, Maharashtra",1st   of 7 Floors,West,Vitrified,Yes,,"1 Covered, 1 Open",Yes,,None,0 Months,Charges included,None,1 to 5 Year Old
196," 27,500",3,3,Not given,3,"Deposit₹ 80,000/-",Carpet area: 1171 (108.79 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kalpataru Harmony, Wakad, , Pune, Maharashtra",11st   of 12 Floors,East,Vitrified,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
197," 20,000",2,2,Not given,2,Deposit3 months rent,Built Up area: 918 (85.28 sq.m.)Carpet area: 735 sq.ft. (68.28 sq.m.)  sq.ft.,Semifurnished,Family Only," in Shivam Residency, Balewadi, , Pune, Maharashtra",4th   of 5 Floors,,Vitrified,,,,,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
198," 11,100",2,2,Others,1,"Maintenance₹ 1/- (/ month)Brokerage₹ 111,000/- (Non-Negotiable)Deposit₹ 25,000/-",Super Built up area 1040(96.62 sq.m.)Built Up area: 920 sq.ft. (85.47 sq.m.)Carpet area: 840 sq.ft. (78.04 sq.m.)  sq.ft.,Unfurnished,All," in Micasaa Apartments, Wagholi, , Pune, Maharashtra",7th   of 12 Floors,East,Vitrified,,,1 Open,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
199," 15,000",2,2,Not given,2,"Deposit₹ 50,000/-",Carpet area: 761 (70.7 sq.m.)  sq.ft.,Semifurnished,All," in TCG The Cliff Garden, Phase-3 Hinjewadi , , Pune, Maharashtra",14th   of 14 Floors,East,Mosaic,Yes,Yes,1 Open,Yes,Yes,11 Months,1 Months,Charges not included,None,0 to 1 Year Old
200," 22,000",3,3,Not given,3,"Deposit₹ 60,000/-",Super Built up area 1050(97.55 sq.m.)  sq.ft.,Semifurnished,All," in Kiran Sparsh, Baner, , Pune, Maharashtra",4th   of 8 Floors,West,Vitrified,Yes,,1 Covered,,,None,1 Months,Charges not included,Full,0 to 1 Year Old
201," 16,000",2,2,Not given,2,"Maintenance₹ 2,500/- (/ month)Deposit₹ 30,000/-",Carpet area: 1000 (92.9 sq.m.)  sq.ft.,Unfurnished,All," in Crimson Crest Society, Keshav Nagar, , Pune, Maharashtra",4th   of 6 Floors,East,Wood,Yes,,1 Open,,Yes,6 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
202," 10,000",3,3,Not given,2,"Deposit₹ 22,000/-",Carpet area: 1200 (111.48 sq.m.)  sq.ft.,Semifurnished,Bachelors (Women Only)," in Naiknavare Irene Tower, Aundh, , Pune, Maharashtra",3rd   of 12 Floors,West,,Yes,,"1 Covered,  Open",,,None,1 Months,Charges not included,Partial,5 to 10 Year Old
203," 13,500",1,1,Not given,1,"Maintenance₹ 1,400/- (/ month)Deposit₹ 50,000/-",Carpet area: 560 (52.03 sq.m.)  sq.ft.,Unfurnished,Family Only," in Suncity Township, Sinhgad Road, , Pune, Maharashtra",4th   of 6 Floors,North,Ceramic,Yes,Yes,,Yes,Yes,36 Months,2 Months,Charges not included,Partial,10+ Year Old
204,,,,Not given,0,,None,,None,,,,,,,,,,,,,,
205," 13,500",1,1,Not given,1,"Maintenance₹ 1,400/- (/ month)Deposit₹ 50,000/-",Carpet area: 560 (52.03 sq.m.)  sq.ft.,Unfurnished,Family Only," in Suncity Township, Sinhgad Road, , Pune, Maharashtra",4th   of 6 Floors,North,Ceramic,Yes,Yes,,Yes,Yes,36 Months,2 Months,Charges not included,Partial,10+ Year Old
206," 21,000",2,2,Not given,1,Deposit2 months rent,Super Built up area 915(85.01 sq.m.)  sq.ft.,Furnished,All," in Magarpatta City Daffodils, Magarpatta, , Pune, Maharashtra",1st   of 6 Floors,East,Vitrified,Yes,,"1 Covered,  Open",,,11 Months,1 Months,Charges not included,None,10+ Year Old
207, 5500,1,1,Not given,2,"Maintenance₹ 1,500/- (/ month)Deposit₹ 20,000/-",Super Built up area 413(38.37 sq.m.)Carpet area: 332 sq.ft. (30.84 sq.m.)  sq.ft.,Furnished,All," in Xrbia Hinjewadi, Hinjewadi, , Pune, Maharashtra",5th   of 8 Floors,North,Vitrified,Yes,Yes,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
208," 12,000",1,1,Others,,"Deposit₹ 30,000/-",Built Up area: 350 (32.52 sq.m.)  sq.ft.,Semifurnished,All," in Nandan Acura, Laxman Nagar, , Pune, Maharashtra",5th   of 7 Floors,,,Yes,,,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
209," 40,000",3,3,Not given,1,"Deposit₹ 150,000/-",Carpet area: 1700 (157.94 sq.m.)  sq.ft.,Semifurnished,Bachelors (Women Only)," in Amruta Apartments, Erandwane, , Pune, Maharashtra",5th   of 5 Floors,East,Vitrified,Yes,,,,,None,1 Months,Charges not included,Partial,5 to 10 Year Old
210," 12,000",2,2,Not given,,Deposit Value₹ NaN/-,Built Up area: 900 (83.61 sq.m.)  sq.ft.,Unfurnished,None," in Konark Pooram, Kondhwa, , Pune, Maharashtra",2nd   of 6 Floors,,,,,,,,None,0 Months,Charges included,None,5 to 10 Year Old
211," 17,000",1,1,Not given,,"Deposit₹ 15,000/-",Super Built up area 400(37.16 sq.m.)  sq.ft.,Unfurnished,All," in karvenagar shahu colony, Kothrud, , Pune, Maharashtra",Ground of 2 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
212," 14,500",2,2,Not given,2,"Deposit₹ 50,000/-",Super Built up area 1130(104.98 sq.m.)Built Up area: 1030 sq.ft. (95.69 sq.m.)Carpet area: 783 sq.ft. (72.74 sq.m.)  sq.ft.,Semifurnished,Family Only," in Dreams Nandini, Shewalewadi, , Pune, Maharashtra",4th   of 10 Floors,South-East,Vitrified,Yes,,1 Covered,,,12 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
213," 12,000",2,2,Study Room,2,"Maintenance₹ 2,300/- (/ month)Deposit₹ 200,000/-",Carpet area: 800 (74.32 sq.m.)  sq.ft.,Semifurnished,All," in 38 Park Majestique, Undri, , Pune, Maharashtra",5th   of 14 Floors,West,Vitrified,,,1 Covered,,,None,0 Months,Charges included,Partial,1 to 5 Year Old
214," 23,000",2,2,Not given,3,"Deposit₹ 50,000/-",Carpet area: 800 (74.32 sq.m.)  sq.ft.,Semifurnished,All," in Mahaveer Blue Chip Avenue, Baner, , Pune, Maharashtra",5th   of 5 Floors,South,Vitrified,Yes,,,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
215," 17,000",2,2,Not given,1,"Deposit₹ 75,000/-",Carpet area: 712 (66.15 sq.m.)  sq.ft.,Semifurnished,Family Only," in Pharande Puneville, Punawale, , Pune, Maharashtra",16th   of 22 Floors,East,Vitrified,Yes,,"1 Covered,  Open",,,24 Months,1 Months,Charges included,Partial,0 to 1 Year Old
216," 18,000",2,2,Not given,3,"Deposit₹ 50,000/-",Super Built up area 850(78.97 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.)  sq.ft.,Semifurnished,All," in Rushi Sai Nisarg, Pimple Gurav, , Pune, Maharashtra",4th   of 6 Floors,East,Vitrified,Yes,Yes,1 Covered,Yes,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
217," 11,000",1,1,Not given,,"Deposit₹ 25,000/-",Carpet area: 500 (46.45 sq.m.)  sq.ft.,Semifurnished,Family Only," in Shyama Mitika, Kalewadi, , Pune, Maharashtra",Ground of 3 Floors,,,Yes,,2 Covered,,,None,1 Months,Charges not included,None,10+ Year Old
218," 15,000",2,2,Not given,2,"Deposit₹ 40,000/-",Carpet area: 545 (50.63 sq.m.)  sq.ft.,Semifurnished,Family Only," in BA Vermont, Wagholi, , Pune, Maharashtra",4th   of 11 Floors,West,Vitrified,Yes,,"1 Covered,  Open",,,11 Months,0 Months,Charges not included,Partial,1 to 5 Year Old
219, 5500,1,1,Not given,,Deposit2 months rent,Carpet area: 350 (32.52 sq.m.)  sq.ft.,Unfurnished,All," in Suyog Leher, Kondhwa, , Pune, Maharashtra",3rd   of 12 Floors,East,Vitrified,Yes,,"1 Covered, 2 Open",,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
220," 18,000",2,2,Not given,1,"Deposit₹ 50,000/-",Carpet area: 1000 (92.9 sq.m.)  sq.ft.,Semifurnished,Family Only," in Nisarg Nirman CHS, Pimple Saudagar, , Pune, Maharashtra",1st   of 7 Floors,East,Vitrified,Yes,,1 Open,,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
221," 23,000",2,2,Not given,2,"Deposit₹ 70,000/-",Carpet area: 950 (88.26 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in Puranik Aldea Espanola, Mahalunge, , Pune, Maharashtra",11st   of 12 Floors,West,Vitrified,Yes,,1 Open,,,None,1 Months,Charges not included,None,1 to 5 Year Old
222," 15,000",2,2,Others,2,"Deposit₹ 45,000/-",Super Built up area 1200(111.48 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kolte Patil Ivy Apartments, Wagholi, , Pune, Maharashtra",6th   of 12 Floors,,,Yes,,"1 Covered,  Open",,,None,0 Months,Charges not included,None,1 to 5 Year Old
223," 25,000",2,2,Not given,3+,Deposit3 months rent,Built Up area: 1250 (116.13 sq.m.)  sq.ft.,Semifurnished,All," in Akshar Altorios, Magarpatta, , Pune, Maharashtra",10th   of 12 Floors,West,Vitrified,Yes,,1 Open,,,11 Months,3 Months,Charges included,Partial,1 to 5 Year Old
224," 14,000",1,1,Not given,1,Deposit3 months rent,Carpet area: 700 (65.03 sq.m.)  sq.ft.,Unfurnished,All," in Samartha Residency, Baner, , Pune, Maharashtra",3rd   of 4 Floors,West,Others,,,"1 Covered,  Open",,,11 Months,1 Months,Charges included,None,10+ Year Old
225," 12,000",1,1,Not given,,Deposit2 months rent,Plot area 300(27.87 sq.m.)  sq.ft.,Semifurnished,Family Only," in Wanowrie, , Pune, Maharashtra",,West,Marble,Yes,Yes,,,,None,0 Months,Charges included,Partial,10+ Year Old
226, 8000,1,1,Not given,,"Deposit₹ 20,000/-",Carpet area: 350 (32.52 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in Shivganga Apartment, Kothrud, , Pune, Maharashtra",2nd   of 3 Floors,North,Spartex,,," Covered, 1 Open",,,11 Months,1 Months,Charges included,None,5 to 10 Year Old
227," 20,000",2,2,Not given,3,Deposit3 months rent,Carpet area: 1100 (102.19 sq.m.)  sq.ft.,Furnished,All," in 11 house, Baner, , Pune, Maharashtra",3rd   of 5 Floors,West,Ceramic,Yes,,1 Covered,,,None,1 Months,Charges not included,None,1 to 5 Year Old
228, 6500,1,1,Not given,1,"Deposit₹ 15,000/-",Super Built up area 702(65.22 sq.m.)  sq.ft.,Unfurnished,All," in jay bhavani heights, Narhe, , Pune, Maharashtra",5th   of 6 Floors,,,,,,,,11 Months,1 Months,Charges included,None,0 to 1 Year Old
229," 16,500",1,1,Not given,1,"Deposit₹ 50,000/-",Super Built up area 654(60.76 sq.m.)  sq.ft.,Furnished,All," in Saarthi Soverign, Mahalunge, , Pune, Maharashtra",4th   of 11 Floors,,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
230,,,,Not given,0,,None,,None,,,,,,,,,,,,,,
231," 15,500",1,1,Not given,1,Deposit2 months rent,Super Built up area 650(60.39 sq.m.)  sq.ft.,Semifurnished,All," in Sheth Tiara, Wakad, , Pune, Maharashtra",9th   of 13 Floors,North,Vitrified,Yes,," Covered,  Open",,,11 Months,3 Months,Charges not included,Partial,1 to 5 Year Old
232," 13,000",1,1,Not given,1,"Deposit₹ 30,000/-",Carpet area: 560 (52.03 sq.m.)  sq.ft.,Semifurnished,Family Only," in Nisarg Phase2, Wakad, , Pune, Maharashtra",2nd   of 4 Floors,North,Mosaic,Yes,," Covered,  Open",,,11 Months,2 Months,Charges included,None,10+ Year Old
233, 6000,1,1,Study Room,,"Deposit₹ 12,000/-",Built Up area: 500 (46.45 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Sanmitra Colony No 1, Mahadeonagar, , Pune, Maharashtra",,,,,,"1 Covered,  Open",,,None,1 Months,Charges not included,None,1 to 5 Year Old
234," 19,500",2,2,Not given,2,,Super Built up area 1049(97.46 sq.m.)  sq.ft.,Semifurnished,All," in 10 Vrindavan Phase 2, Vishrantwadi, , Pune, Maharashtra",5th   of 11 Floors,North,Ceramic,,,1 Covered,,,11 Months,1 Months,Charges included,Partial,1 to 5 Year Old
235," 12,000",2,2,Not given,1,,Super Built up area 800(74.32 sq.m.)  sq.ft.,Unfurnished,All," in Anusaya Park, Kharadi, , Pune, Maharashtra",1st   of 2 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,5 to 10 Year Old
236," 24,000",2,2,Not given,2,"Deposit₹ 60,000/-",Super Built up area 1200(111.48 sq.m.)  sq.ft.,Furnished,All," in Pristine Fontana, Bavdhan, , Pune, Maharashtra",2nd   of 9 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
237," 20,000",2,2,Not given,3,"Deposit₹ 60,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Semifurnished,Family Only," in Akshar Elementa, Wakad, , Pune, Maharashtra",11st   of 15 Floors,,Vitrified,Yes,,1 Covered,,Yes,None,1 Months,Charges not included,None,5 to 10 Year Old
238," 13,000",1,2,Not given,1,"Deposit₹ 40,000/-",Carpet area: 650 (60.39 sq.m.)  sq.ft.,Unfurnished,Family Only," in Sumitra Stars, Vishnu Dev Nagar, , Pune, Maharashtra",1st   of 5 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
239," 21,000",2,2,Not given,1,"Deposit₹ 50,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Furnished,All," in Shiv Sai Vishav, Pimple Saudagar, , Pune, Maharashtra",6th   of 8 Floors,East,Vitrified,Yes,Yes,1 Covered,,Yes,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
240," 35,000",3,3,Not given,3,"Deposit₹ 100,000/-",Super Built up area 1500(139.35 sq.m.)Built Up area: 1480 sq.ft. (137.5 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.)  sq.ft.,Unfurnished,Family Only," in Vinspa Apartment, Boat Club Road, , Pune, Maharashtra",1st   of 5 Floors,North-West,,Yes,,1 Covered,,,None,1 Months,Charges not included,Partial,10+ Year Old
241," 27,000",3,2,Not given,2,,Carpet area: 1100 (102.19 sq.m.)  sq.ft.,Unfurnished,All," in Duville Riverdale Heights, Kharadi, , Pune, Maharashtra",19th   of 23 Floors,,,,,"1 Covered,  Open",,,None,0 Months,Charges not included,Full,0 to 1 Year Old
242, 9000,1,1,Not given,2,"Deposit₹ 18,000/-",Carpet area: 456 (42.36 sq.m.)  sq.ft.,Semifurnished,Family Only," in 38 Park Majestique, Undri, , Pune, Maharashtra",12nd   of 13 Floors,East,Vitrified,Yes,,1 Open,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
243," 20,000",2,2,Not given,1,,Super Built up area 1160(107.77 sq.m.)  sq.ft.,Semifurnished,Family Only," in Teerth Towers, Sus , , Pune, Maharashtra",2nd   of 14 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
