rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"18,000",2,2,Not given,1,"Brokerage₹ 18,000/- (Non-Negotiable)Deposit₹ 50,000/-",Carpet area: 830 (77.11 sq.m.)  sq.ft.,Semifurnished,All," in DSK Vidyanagari, Baner, , Pune, Maharashtra",4th   of 13 Floors,East,Marble,Yes,Yes,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges included,Partial,1 to 5 Year Old
"16,500",2,2,Not given,1,"Brokerage₹ 16,500/- (Negotiable)Deposit₹ 40,000/-",Carpet area: 760 (70.61 sq.m.)  sq.ft.,Unfurnished,All," in Royal Serene, Mahalunge, , Pune, Maharashtra",5th   of 8 Floors,East,Marble,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"16,000",1,1,Not given,1,"Maintenance₹ 1,000/- (/ month)Brokerage₹ 16,000/- (Non-Negotiable)Deposit₹ 40,000/-",Super Built up area 750(69.68 sq.m.)Built Up area: 600 sq.ft. (55.74 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.)  sq.ft.,Semifurnished,All," in Space Elena, Bavdhan, , Pune, Maharashtra",8th   of 8 Floors,East,Ceramic,,,1 Covered,,,None,1 Months,Charges not included,Full,1 to 5 Year Old
"18,000",2,2,Not given,2,"Brokerage₹ 18,000/- (Negotiable)Deposit₹ 50,000/-",Super Built up area 1001(93 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 891 sq.ft. (82.78 sq.m.)  sq.ft.,Semifurnished,All," in Sancheti Mount n Glory, Tulaja Bhawani Nagar, , Pune, Maharashtra",6th   of 10 Floors,North,Vitrified,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"18,000",2,2,"Pooja Room,Study Room",2,"Brokerage₹ 18,000/- (Negotiable)Deposit₹ 50,000/-",Super Built up area 1130(104.98 sq.m.)Built Up area: 1080 sq.ft. (100.34 sq.m.)Carpet area: 880 sq.ft. (81.75 sq.m.)  sq.ft.,Semifurnished,All," in Paranjape Azure, Tathawade, , Pune, Maharashtra",9th   of 12 Floors,East,Vitrified,Yes,Yes,1 Covered,Yes,,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
"19,000",3,3,Study Room,2,Brokerage2% (Non-Negotiable)Deposit2 months rent,Built Up area: 1485 (137.96 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.)  sq.ft.,Semifurnished,All," in Nirman Royale Shell, Pradhikaran, , Pune, Maharashtra",1st   of 9 Floors,East,Vitrified,Yes,,1 Covered,,,None,0 Months,Charges not included,Partial,1 to 5 Year Old
"19,000",2,2,Others,2,"Brokerage₹ 19,000/- (Non-Negotiable)Deposit₹ 50,000/-",Super Built up area 1000(92.9 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 780 sq.ft. (72.46 sq.m.)  sq.ft.,Furnished,All," in Magarpatta Annex, Magarpatta, , Pune, Maharashtra",7th   of 12 Floors,South-West,Vitrified,Yes,,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"32,000",2,2,Others,2,"Brokerage₹ 50,000/- (Non-Negotiable)Deposit₹ 100,000/-",Super Built up area 1200(111.48 sq.m.)  sq.ft.,Furnished,All," in on request, Model Colony, , Pune, Maharashtra",2nd   of 3 Floors,East,Vitrified,Yes,Yes,"1 Covered, 0 Open",,,36 Months,1 Months,Charges not included,None,10+ Year Old
"22,000",2,2,Others,2,"Maintenance₹ 1/- (/ month)Brokerage₹ 22,000/- (Non-Negotiable)Deposit₹ 75,000/-",Super Built up area 1008(93.65 sq.m.)Built Up area: 925 sq.ft. (85.94 sq.m.)Carpet area: 773.82 sq.ft. (71.89 sq.m.)  sq.ft.,Furnished,Family Only," in Venkatesh Graffiti, Keshav Nagar, , Pune, Maharashtra",2nd   of 12 Floors,North-East,Vitrified,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"30,000",2,2,Not given,2,"Brokerage₹ 45,000/- (Negotiable)Deposit₹ 150,000/-",Super Built up area 950(88.26 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.)  sq.ft.,Semifurnished,Family Only," in Rajas Enclave, Mayur Colony, , Pune, Maharashtra",3rd   of 7 Floors,East,Marble,Yes,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
